projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,318
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/DatabaseConnections.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/DatabaseConnections.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,98
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/DriverInfo.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/DriverInfo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,65
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/IncrementalRows.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/IncrementalRows.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,129
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/OutputFile.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/OutputFile.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,81
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/OutputFormat.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/OutputFormat.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,49
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/ReflectiveCommandHandler.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/ReflectiveCommandHandler.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,75
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/Reflector.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/Reflector.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,157
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/Rows.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/Rows.java,0,0,0,0,0,3,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,186
hive,release-0.11.0,release-0.12.0,F:/corpus/hive/hive#2013-05-16-11-40-10#release-0.11.0#383fce6/beeline/src/java/org/apache/hive/beeline/SQLCompletor.java,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/SQLCompletor.java,0,0,0,0,0,5,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,113
