projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/beanclass/ClassEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/beanclass/ClassEndpoint.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/binding/BindingEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/binding/BindingEndpoint.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,139
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/browse/BrowseEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/browse/BrowseEndpoint.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,123
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/controlbus/ControlBusEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/controlbus/ControlBusEndpoint.java,1,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/controlbus/ControlBusProducer.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/controlbus/ControlBusProducer.java,0,0,0,0,0,9,0,1,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,203
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/dataformat/DataFormatEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/dataformat/DataFormatEndpoint.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,133
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/dataset/DataSetEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/dataset/DataSetEndpoint.java,1,0,0,1,1,1,0,0,0,0,0,0,0,YES,0,0,0,0,3,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,4,1,0,63,244
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/direct/DirectConsumer.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/direct/DirectConsumer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/direct/DirectEndpoint.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/direct/DirectEndpoint.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,149
camel,camel-2.16.0,camel-2.17.0,F:/corpus/camel/camel#2015-10-05-23-39-03#camel-2.16.0#5a32be6/camel-core/src/main/java/org/apache/camel/component/directvm/DirectVmConsumer.java,F:/corpus/camel/camel#2016-03-22-07-42-40#camel-2.17.0#cf2e174/camel-core/src/main/java/org/apache/camel/component/directvm/DirectVmConsumer.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59
