projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/tartarus/snowball/ext/BasqueStemmer.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/common/src/java/org/tartarus/snowball/ext/BasqueStemmer.java,0,0,0,0,0,0,0,0,0,1,0,0,3,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/tartarus/snowball/ext/CatalanStemmer.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/common/src/java/org/tartarus/snowball/ext/CatalanStemmer.java,0,1,0,0,0,0,0,0,0,0,0,0,3,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/tartarus/snowball/ext/IrishStemmer.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/common/src/java/org/tartarus/snowball/ext/IrishStemmer.java,0,0,0,0,0,0,0,0,0,2,0,0,3,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/icu/src/java/org/apache/lucene/analysis/icu/segmentation/ScriptIterator.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/icu/src/java/org/apache/lucene/analysis/icu/segmentation/ScriptIterator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/stempel/src/java/org/apache/lucene/analysis/stempel/StempelFilter.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/stempel/src/java/org/apache/lucene/analysis/stempel/StempelFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/stempel/src/java/org/egothor/stemmer/Cell.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/stempel/src/java/org/egothor/stemmer/Cell.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/stempel/src/java/org/egothor/stemmer/Diff.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/stempel/src/java/org/egothor/stemmer/Diff.java,0,0,0,0,0,0,0,0,0,1,0,0,2,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/stempel/src/java/org/egothor/stemmer/Gener.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/stempel/src/java/org/egothor/stemmer/Gener.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/stempel/src/java/org/egothor/stemmer/Lift.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/stempel/src/java/org/egothor/stemmer/Lift.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
lucene,3.6.0,4.0.0,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/stempel/src/java/org/egothor/stemmer/MultiTrie2.java,F:/corpus/lucene/lucene#2012-10-11-16-51-26#4.0.0#30b2229/lucene/analysis/stempel/src/java/org/egothor/stemmer/MultiTrie2.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
